GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
69,2024-03-19,,Winnipeg Jets,2,4,L,,45,20,4,L 1,18006,2:30,
70,2024-03-21,@,Boston Bruins,5,2,W,,46,20,4,W 1,17850,2:24,
71,2024-03-23,,Florida Panthers,4,3,W,SO,47,20,4,W 2,18006,2:44,
72,2024-03-26,,Philadelphia Flyers,6,5,W,OT,48,20,4,W 3,18006,2:40,
73,2024-03-28,@,Colorado Avalanche,3,2,W,SO,49,20,4,W 4,18130,2:46,
74,2024-03-30,@,Arizona Coyotes,8,5,W,,50,20,4,W 5,4600,2:35,
75,2024-04-01,,Pittsburgh Penguins,2,5,L,,50,21,4,L 1,18006,2:30,
76,2024-04-03,,New Jersey Devils,4,3,W,,51,21,4,W 1,18006,2:38,
77,2024-04-05,@,Detroit Red Wings,4,3,W,,52,21,4,W 2,19515,2:35,
78,2024-04-07,,Montreal Canadiens,5,2,W,,53,21,4,W 3,17854,2:29,
79,2024-04-09,@,New York Islanders,2,4,L,,53,22,4,L 1,17255,2:38,
80,2024-04-11,,Philadelphia Flyers,1,4,L,,53,23,4,L 2,18006,2:26,
81,2024-04-13,,New York Islanders,3,2,W,SO,54,23,4,W 1,18006,2:49,
82,2024-04-15,,Ottawa Senators,4,0,W,,55,23,4,W 2,18006,2:23,
