Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Friday May 17,boxscore,NYM,@,MIA,L,0,8,,20-24,4,11.0,Luzardo,Scott,,2:27,N,13555,0.68,-,
45,Saturday May 18,boxscore,NYM,@,MIA,L-wo,9,10,10,20-25,4,12.0,Scott,López,,3:09,D,15304,0.63,--,
46,Sunday May 19,boxscore,NYM,@,MIA,W,7,3,,21-25,3,12.0,Manaea,Sánchez,Garrett,2:59,D,19946,0.58,+,
47,Monday May 20,boxscore,NYM,@,CLE,L,1,3,,21-26,4,12.5,Lively,Megill,Clase,2:16,N,20046,0.63,-,
48,Tuesday May 21,boxscore,NYM,@,CLE,L,6,7,,21-27,4,13.5,Sandlin,Houser,Clase,2:35,N,20977,0.57,--,
49,Wednesday May 22,boxscore,NYM,@,CLE,L,3,6,,21-28,4,14.5,Gaddis,Garrett,Smith,2:45,D,22322,0.52,---,
50,Friday May 24,boxscore,NYM,,SFG,L,7,8,,21-29,4,15.0,Avila,Garrett,Doval,2:45,N,26658,0.53,----,
51,Saturday May 25,boxscore,NYM,,SFG,L,2,7,10,21-30,4,16.0,Jackson,Reid-Foley,,3:03,D,32971,0.43,-----,
52,Sunday May 26,boxscore,NYM,,SFG,W-wo,4,3,,22-30,4,15.0,Houser,Rogers,,2:17,D,41016,0.41,+,
53,Tuesday May 28 (1),boxscore,NYM,,LAD,L,2,5,10,22-31,4,15.0,Hudson,López,Treinen,2:42,N,,0.46,-,
54,Tuesday May 28 (2),boxscore,NYM,,LAD,L,0,3,,22-32,4,15.0,Stone,Quintana,Vesia,2:18,N,36021,0.45,--,
55,Wednesday May 29,boxscore,NYM,,LAD,L,3,10,,22-33,4,16.0,Treinen,Ottavino,,3:20,D,23890,0.32,---,
56,Thursday May 30,boxscore,NYM,,ARI,W,3,2,,23-33,4,15.5,Young,Thompson,Garrett,2:43,N,20926,0.32,+,
57,Friday May 31,boxscore,NYM,,ARI,W,10,9,,24-33,4,15.5,Severino,Montgomery,,2:51,N,33884,0.35,++,
58,Saturday Jun 1,boxscore,NYM,,ARI,L,5,10,,24-34,4,16.5,Ginkel,Manaea,,2:53,D,30600,0.38,-,
59,Sunday Jun 2,boxscore,NYM,,ARI,L,4,5,,24-35,4,16.5,Martinez,Diekman,Sewald,2:40,D,31059,0.33,--,
60,Monday Jun 3,boxscore,NYM,@,WSN,W,8,7,,25-35,4,16.5,Megill,Gore,Diekman,3:18,N,20575,0.31,+,
61,Tuesday Jun 4,boxscore,NYM,@,WSN,W,6,3,,26-35,4,16.5,Peterson,Herz,,2:34,N,21570,0.35,++,
62,Wednesday Jun 5,boxscore,NYM,@,WSN,W,9,1,,27-35,4,16.5,Severino,Corbin,,2:06,D,18775,0.39,+++,
63,Saturday Jun 8,boxscore,NYM,,PHI,L,2,7,,27-36,4,17.5,Suárez,Manaea,,2:52,N,53882,0.41,-,
64,Sunday Jun 9,boxscore,NYM,@,PHI,W,6,5,,28-36,4,16.5,Garrett,Alvarado,Smith,3:27,D,55074,0.36,+,
65,Tuesday Jun 11,boxscore,NYM,,MIA,L,2,4,,28-37,4,17.5,Luzardo,Megill,Scott,2:50,N,22070,0.39,-,
66,Wednesday Jun 12,boxscore,NYM,,MIA,W,10,4,,29-37,4,16.5,Peterson,Garrett,,2:45,N,19803,0.37,+,
67,Thursday Jun 13,boxscore,NYM,,MIA,W-wo,3,2,,30-37,4,15.5,Díaz,Scott,,2:25,N,22485,0.38,++,
68,Friday Jun 14,boxscore,NYM,,SDP,W,2,1,,31-37,4,15.5,Manaea,Waldron,Díaz,2:32,N,22850,0.46,+++,
69,Saturday Jun 15,boxscore,NYM,,SDP,W,5,1,,32-37,4,14.5,Quintana,Mazur,,2:34,D,37031,0.51,++++,
70,Sunday Jun 16,boxscore,NYM,,SDP,W,11,6,,33-37,4,13.5,Megill,Cease,,3:11,D,31454,0.56,+++++,
71,Monday Jun 17,boxscore,NYM,@,TEX,W,14,2,,34-37,4,13.5,Peterson,Gray,,2:53,N,32590,0.56,++++++,
72,Tuesday Jun 18,boxscore,NYM,@,TEX,W,7,6,,35-37,3,13.5,Garrett,Yates,Díaz,2:44,N,36274,0.61,+++++++,
73,Wednesday Jun 19,boxscore,NYM,@,TEX,L,3,5,,35-38,4,13.5,Ureña,Smith,Yates,2:27,N,36095,0.66,-,
74,Friday Jun 21,boxscore,NYM,@,CHC,W,11,1,,36-38,4,12.5,Quintana,Imanaga,,3:03,D,37037,0.66,+,
75,Saturday Jun 22,boxscore,NYM,@,CHC,L,1,8,,36-39,4,13.5,Taillon,Megill,,2:30,D,39319,0.71,-,
76,Sunday Jun 23,boxscore,NYM,@,CHC,W,5,2,,37-39,4,13.5,Severino,Assad,Diekman,3:10,N,39417,0.66,+,
77,Tuesday Jun 25,boxscore,NYM,,NYY,W,9,7,,38-39,3,13.0,Núñez,Cole,,3:05,N,42824,0.64,++,
78,Wednesday Jun 26,boxscore,NYM,,NYY,W,12,2,,39-39,3,13.0,Manaea,Gil,Houser,3:05,N,43004,0.67,+++,
79,Friday Jun 28,boxscore,NYM,,HOU,W,7,2,,40-39,3,12.5,Núñez,Blanco,,3:06,N,32465,0.74,++++,
80,Saturday Jun 29,boxscore,NYM,,HOU,L,6,9,,40-40,3,12.5,Martinez,Garrett,Hader,3:23,D,32348,0.80,-,
81,Sunday Jun 30,boxscore,NYM,,HOU,L,5,10,11,40-41,3,13.5,Scott,Festa,,3:01,D,26853,0.78,--,
82,Monday Jul 1,boxscore,NYM,@,WSN,W,9,7,10,41-41,3,13.0,Diekman,Harvey,Garrett,3:19,N,26719,0.74,+,
83,Tuesday Jul 2,boxscore,NYM,@,WSN,W,7,2,10,42-41,3,13.0,Buttó,Garcia,,2:46,N,19844,0.81,++,
84,Wednesday Jul 3,boxscore,NYM,@,WSN,L,5,7,,42-42,3,14.0,Barnes,Diekman,Finnegan,2:40,N,32391,0.84,-,
85,Thursday Jul 4,boxscore,NYM,@,WSN,L,0,1,,42-43,3,14.0,Irvin,Houser,Law,1:58,D,34394,0.80,--,
86,Friday Jul 5,boxscore,NYM,@,PIT,L,2,14,,42-44,3,15.0,Skenes,Severino,,2:38,N,37037,0.72,---,
87,Saturday Jul 6,boxscore,NYM,@,PIT,W,5,2,,43-44,3,14.0,Buttó,Falter,Díaz,2:43,D,36009,0.70,+,
88,Sunday Jul 7,boxscore,NYM,@,PIT,W,3,2,,44-44,3,13.0,Díaz,Chapman,,3:01,D,23147,0.74,++,
89,Monday Jul 8,boxscore,NYM,@,PIT,L,2,8,,44-45,3,13.5,Keller,Orze,,2:22,D,16158,0.82,-,
90,Tuesday Jul 9,boxscore,NYM,,WSN,W,7,5,,45-45,3,13.5,Quintana,Irvin,Díaz,2:41,N,31243,0.76,+,
91,Wednesday Jul 10,boxscore,NYM,,WSN,W,6,2,,46-45,3,13.5,Severino,Corbin,Buttó,2:24,N,24887,0.80,++,
92,Thursday Jul 11,boxscore,NYM,,WSN,W,7,0,,47-45,3,13.5,Peterson,Gore,,2:49,D,25710,0.87,+++,
93,Friday Jul 12,boxscore,NYM,,COL,W,7,6,,48-45,3,12.5,Manaea,Gordon,Díaz,2:49,N,28852,0.88,++++,
94,Saturday Jul 13,boxscore,NYM,,COL,W,7,3,,49-45,3,12.5,Buttó,Feltner,Núñez,2:53,D,31029,0.89,+++++,
95,Sunday Jul 14,boxscore,NYM,,COL,L,5,8,,49-46,3,12.5,Lawrence,Quintana,Vodnik,2:56,D,24970,0.93,-,
96,Friday Jul 19,boxscore,NYM,@,MIA,L,4,6,,49-47,3,12.5,Bender,Manaea,Scott,2:43,N,16542,0.92,--,
97,Saturday Jul 20,boxscore,NYM,@,MIA,W,1,0,,50-47,3,11.5,Severino,Muñoz,Díaz,2:35,D,21902,0.89,+,
98,Sunday Jul 21,boxscore,NYM,@,MIA,L,2,4,,50-48,3,12.5,Cronin,Scott,Scott,3:02,D,19418,0.92,-,
99,Monday Jul 22,boxscore,NYM,@,MIA,W,6,4,,51-48,3,11.5,Peterson,Chirinos,Díaz,2:45,N,13068,0.90,+,
100,Tuesday Jul 23,boxscore,NYM,@,NYY,W,3,2,,52-48,3,11.5,Quintana,Tonkin,Diekman,3:13,N,47453,0.96,++,
101,Wednesday Jul 24,boxscore,NYM,@,NYY,W,12,3,,53-48,3,10.5,Ottavino,Cole,,3:18,N,48760,0.98,+++,
102,Thursday Jul 25,boxscore,NYM,,ATL,W-wo,3,2,10,54-48,3,10.0,Maton,Johnson,,2:39,N,34807,1.18,++++,
103,Friday Jul 26,boxscore,NYM,,ATL,W,8,4,,55-48,2,9.0,Senga,Morton,,2:44,N,34673,1.24,+++++,
104,Saturday Jul 27,boxscore,NYM,,ATL,L,0,4,,55-49,3,10.0,Schwellenbach,Megill,,2:13,D,35149,1.31,-,
105,Sunday Jul 28,boxscore,NYM,,ATL,L,2,9,,55-50,3,10.0,Lee,Peterson,,2:38,D,26916,1.26,--,
106,Monday Jul 29,boxscore,NYM,,MIN,W,15,2,,56-50,3,9.0,Quintana,Woods Richardson,Buttó,2:59,N,28507,1.09,+,
107,Tuesday Jul 30,boxscore,NYM,,MIN,W,2,0,,57-50,3,8.0,Manaea,Festa,Díaz,2:12,N,27767,1.11,++,
108,Wednesday Jul 31,boxscore,NYM,,MIN,L,3,8,,57-51,3,8.0,López,Severino,,2:49,D,28875,1.16,-,
109,Friday Aug 2,boxscore,NYM,@,LAA,W,5,1,,58-51,3,7.0,Blackburn,Anderson,,2:41,N,37012,1.13,+,
110,Saturday Aug 3,boxscore,NYM,@,LAA,L,4,5,,58-52,3,7.0,Moore,Brazobán,Joyce,2:50,N,36377,1.20,-,
111,Sunday Aug 4,boxscore,NYM,@,LAA,L,2,3,,58-53,3,8.0,Canning,Quintana,Contreras,2:46,D,37811,1.20,--,
112,Monday Aug 5,boxscore,NYM,@,STL,W,6,0,,59-53,3,7.0,Manaea,Pallante,,2:22,D,34881,1.22,+,
113,Tuesday Aug 6,boxscore,NYM,@,COL,L,3,6,,59-54,3,8.0,Lawrence,Severino,Vodnik,2:29,N,30392,1.20,-,
114,Wednesday Aug 7,boxscore,NYM,@,COL,W,5,3,,60-54,3,8.0,Buttó,Vodnik,Díaz,2:46,N,30673,1.14,+,
115,Thursday Aug 8,boxscore,NYM,@,COL,W,9,1,,61-54,2,8.0,Peterson,Gomber,,2:47,D,26379,1.17,++,
116,Friday Aug 9,boxscore,NYM,@,SEA,L,0,6,,61-55,2,8.0,Miller,Quintana,,2:31,N,34889,1.26,-,
