G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
53,Tue Feb 13 2024,7:30p,,Box Score,,Boston Celtics,L,,110,118,21,32,L 1,18053,2:14,
54,Wed Feb 14 2024,7:30p,,Box Score,@,Boston Celtics,L,,86,136,21,33,L 2,19156,1:54,
55,Thu Feb 22 2024,7:00p,,Box Score,@,Toronto Raptors,L,,93,121,21,34,L 3,19800,2:13,
56,Sat Feb 24 2024,9:00p,,Box Score,@,Minnesota Timberwolves,L,,86,101,21,35,L 4,18024,2:20,
57,Mon Feb 26 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,111,86,22,35,W 1,15417,2:13,
58,Tue Feb 27 2024,7:00p,,Box Score,@,Orlando Magic,L,,81,108,22,36,L 1,17708,2:15,
59,Thu Feb 29 2024,7:30p,,Box Score,,Atlanta Hawks,W,,124,97,23,36,W 1,17284,2:05,
60,Sat Mar 2 2024,3:00p,,Box Score,,Atlanta Hawks,W,,114,102,24,36,W 2,18075,2:18,
61,Mon Mar 4 2024,7:30p,,Box Score,,Memphis Grizzlies,L,,102,106,24,37,L 1,15847,2:28,
62,Tue Mar 5 2024,7:30p,,Box Score,,Philadelphia 76ers,W,,112,107,25,37,W 1,17086,2:20,
63,Thu Mar 7 2024,7:00p,,Box Score,@,Detroit Pistons,L,,112,118,25,38,L 1,19011,2:14,
64,Sat Mar 9 2024,7:00p,,Box Score,@,Charlotte Hornets,L,,99,110,25,39,L 2,19090,2:08,
65,Sun Mar 10 2024,7:00p,,Box Score,@,Cleveland Cavaliers,W,,120,101,26,39,W 1,19432,2:05,
66,Wed Mar 13 2024,7:00p,,Box Score,@,Orlando Magic,L,,106,114,26,40,L 1,18846,2:19,
67,Sat Mar 16 2024,7:00p,,Box Score,@,Indiana Pacers,L,,100,121,26,41,L 2,17009,2:14,
68,Sun Mar 17 2024,7:00p,,Box Score,@,San Antonio Spurs,L,OT,115,122,26,42,L 3,16057,2:35,
69,Tue Mar 19 2024,7:30p,,Box Score,,New Orleans Pelicans,L,,91,104,26,43,L 4,17732,2:05,
70,Thu Mar 21 2024,8:00p,,Box Score,@,Milwaukee Bucks,L,,108,115,26,44,L 5,17341,2:17,
71,Sat Mar 23 2024,1:00p,,Box Score,@,New York Knicks,L,,93,105,26,45,L 6,19812,2:00,
72,Mon Mar 25 2024,7:30p,,Box Score,@,Toronto Raptors,W,,96,88,27,45,W 1,18376,2:07,
73,Wed Mar 27 2024,7:00p,,Box Score,@,Washington Wizards,W,OT,122,119,28,45,W 2,15159,2:23,
74,Fri Mar 29 2024,7:30p,,Box Score,,Chicago Bulls,W,,125,108,29,45,W 3,17894,2:13,
75,Sun Mar 31 2024,6:00p,,Box Score,,Los Angeles Lakers,L,,104,116,29,46,L 1,18162,2:08,
76,Mon Apr 1 2024,7:00p,,Box Score,@,Indiana Pacers,L,,111,133,29,47,L 2,16522,2:20,
77,Wed Apr 3 2024,7:30p,,Box Score,,Indiana Pacers,W,,115,111,30,47,W 1,17732,2:15,
78,Sat Apr 6 2024,7:00p,,Box Score,,Detroit Pistons,W,,113,103,31,47,W 2,17732,2:07,
79,Sun Apr 7 2024,7:30p,,Box Score,,Sacramento Kings,L,,77,107,31,48,L 1,17732,2:06,
80,Wed Apr 10 2024,7:30p,,Box Score,,Toronto Raptors,W,,106,102,32,48,W 1,17732,2:20,
81,Fri Apr 12 2024,7:30p,,Box Score,@,New York Knicks,L,,107,111,32,49,L 1,19812,2:15,
82,Sun Apr 14 2024,1:00p,,Box Score,@,Philadelphia 76ers,L,,86,107,32,50,L 2,20246,2:01,
