Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 14,boxscore,NYY,@,MIN,W,5,1,,28-15,1,up 0.5,Rodón,Paddack,,2:38,N,23805,1.24,++,
44,Wednesday May 15,boxscore,NYY,@,MIN,W,4,0,,29-15,1,up 0.5,Stroman,López,,2:38,N,22235,1.26,+++,
45,Thursday May 16,boxscore,NYY,@,MIN,W,5,0,,30-15,1,up 1.0,Schmidt,Ryan,,2:15,D,31569,1.22,++++,
46,Friday May 17,boxscore,NYY,,CHW,W,4,2,,31-15,1,up 1.0,Cortés,Clevinger,Holmes,2:32,N,46025,1.14,+++++,
47,Saturday May 18,boxscore,NYY,,CHW,W,6,1,,32-15,1,up 2.0,Gil,Keller,,2:29,D,43194,1.07,++++++,
48,Sunday May 19,boxscore,NYY,,CHW,W,7,2,,33-15,1,up 2.0,Rodón,Flexen,,2:33,D,41041,1.04,+++++++,
49,Monday May 20,boxscore,NYY,,SEA,L,4,5,,33-16,1,up 2.0,Bazardo,Holmes,Muñoz,2:34,N,37590,1.15,-,
50,Tuesday May 21,boxscore,NYY,,SEA,L,3,6,,33-17,1,up 2.0,Woo,Schmidt,Muñoz,2:58,N,37257,1.18,--,
51,Wednesday May 22,boxscore,NYY,,SEA,W,7,3,,34-17,1,up 3.0,Cortés,Miller,,2:43,N,40224,1.23,+,
52,Thursday May 23,boxscore,NYY,,SEA,W,5,0,,35-17,1,up 3.0,Gil,Castillo,Holmes,2:43,D,43121,1.21,++,
53,Friday May 24,boxscore,NYY,@,SDP,W,8,0,,36-17,1,up 3.0,Rodón,Darvish,,2:31,N,43505,1.07,+++,
54,Saturday May 25,boxscore,NYY,@,SDP,W,4,1,,37-17,1,up 3.0,Stroman,Cease,Holmes,2:35,N,44845,1.00,++++,
55,Sunday May 26,boxscore,NYY,@,SDP,L,2,5,,37-18,1,up 2.0,Estrada,Schmidt,Suarez,2:56,D,45731,0.96,-,
56,Tuesday May 28,boxscore,NYY,@,LAA,L,3,4,,37-19,1,up 1.5,Moore,Weaver,Estévez,2:25,N,34894,1.02,--,
57,Wednesday May 29,boxscore,NYY,@,LAA,W,2,1,,38-19,1,up 1.5,Gil,Anderson,Holmes,2:23,N,34313,1.10,+,
58,Thursday May 30,boxscore,NYY,@,LAA,W,8,3,,39-19,1,up 2.0,Rodón,Sandoval,,2:41,N,36312,1.02,++,
59,Friday May 31,boxscore,NYY,@,SFG,W,6,2,,40-19,1,up 2.0,Stroman,Hicks,,2:24,N,35018,1.00,+++,
60,Saturday Jun 1,boxscore,NYY,@,SFG,W,7,3,,41-19,1,up 2.0,Poteet,Webb,,2:22,N,34487,0.93,++++,
61,Sunday Jun 2,boxscore,NYY,@,SFG,W,7,5,,42-19,1,up 3.0,Tonkin,Doval,Holmes,2:55,D,39485,0.92,+++++,
62,Tuesday Jun 4,boxscore,NYY,,MIN,W,5,1,,43-19,1,up 2.5,Gil,Ober,,2:22,N,37139,0.95,++++++,
63,Wednesday Jun 5,boxscore,NYY,,MIN,W,9,5,,44-19,1,up 3.5,Rodón,Paddack,,2:36,N,43202,0.93,+++++++,
64,Thursday Jun 6,boxscore,NYY,,MIN,W,8,5,,45-19,1,up 4.5,Weaver,López,Holmes,3:08,N,41380,0.84,++++++++,
65,Friday Jun 7,boxscore,NYY,,LAD,L,1,2,11,45-20,1,up 3.5,Grove,Hamilton,Ramírez,3:21,N,48048,0.78,-,
66,Saturday Jun 8,boxscore,NYY,,LAD,L,3,11,,45-21,1,up 2.5,Stone,Cortés,,3:17,N,48374,0.82,--,
