latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,EDT

time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),weather_code (wmo code)
2024-01-05T18:00,31.9,60,23.8,0.000,0
2024-01-05T19:00,30.5,66,22.3,0.000,1
2024-01-05T20:00,30.0,69,21.6,0.000,1
2024-01-05T21:00,29.8,69,22.2,0.000,1
2024-01-05T22:00,28.7,73,20.9,0.000,0
2024-01-05T23:00,27.0,78,19.2,0.000,0
2024-01-06T00:00,25.7,83,18.5,0.000,0
2024-01-06T01:00,24.3,87,17.3,0.000,0
2024-01-06T02:00,23.7,89,16.8,0.000,1
2024-01-06T03:00,24.0,89,16.8,0.000,0
2024-01-06T04:00,23.0,90,15.9,0.000,1
2024-01-06T05:00,22.2,92,14.7,0.000,1
2024-01-06T06:00,24.7,89,18.2,0.000,1
2024-01-06T07:00,24.2,93,18.1,0.000,1
2024-01-06T08:00,24.7,96,19.3,0.000,3
2024-01-06T09:00,24.7,99,18.9,0.000,2
2024-01-06T10:00,28.1,82,21.5,0.000,3
2024-01-06T11:00,30.7,72,23.6,0.000,3
2024-01-06T12:00,33.1,68,25.8,0.000,3
2024-01-06T13:00,34.7,64,27.1,0.000,3
2024-01-06T14:00,35.8,69,27.7,0.000,3
2024-01-06T15:00,36.5,68,27.9,0.000,3
2024-01-06T16:00,35.4,77,27.3,0.008,71
2024-01-06T17:00,34.8,83,26.5,0.020,73
2024-01-06T18:00,33.9,92,25.5,0.047,73
2024-01-06T19:00,33.6,99,24.9,0.071,75
2024-01-06T20:00,33.4,100,24.2,0.118,75
2024-01-06T21:00,33.2,99,22.5,0.071,75
2024-01-06T22:00,33.6,98,22.4,0.035,71
2024-01-06T23:00,33.6,100,22.4,0.063,73
2024-01-07T00:00,34.2,100,23.9,0.031,53
2024-01-07T01:00,34.4,100,24.8,0.039,55
2024-01-07T02:00,34.6,99,24.2,0.020,53
2024-01-07T03:00,35.0,98,24.5,0.004,51
2024-01-07T04:00,35.5,97,25.2,0.000,3
2024-01-07T05:00,35.8,96,25.7,0.004,51
2024-01-07T06:00,35.8,96,26.5,0.004,51
2024-01-07T07:00,35.9,96,27.2,0.008,51
2024-01-07T08:00,36.1,96,27.7,0.012,51
2024-01-07T09:00,35.0,93,27.6,0.020,53
2024-01-07T10:00,34.6,95,27.2,0.039,55
2024-01-07T11:00,34.3,97,26.9,0.016,51
2024-01-07T12:00,34.1,98,24.9,0.039,73
2024-01-07T13:00,33.5,96,26.1,0.043,73
2024-01-07T14:00,34.4,93,27.0,0.008,51
2024-01-07T15:00,35.5,86,28.4,0.000,3
2024-01-07T16:00,36.0,84,29.8,0.000,3
2024-01-07T17:00,35.3,85,29.1,0.000,3
2024-01-07T18:00,33.9,86,27.4,0.000,3
2024-01-07T19:00,32.9,86,26.4,0.000,3
2024-01-07T20:00,31.2,90,25.1,0.000,1
2024-01-07T21:00,31.9,86,24.1,0.000,1
2024-01-07T22:00,32.6,81,23.3,0.000,0
2024-01-07T23:00,32.0,81,23.1,0.000,1
2024-01-08T00:00,30.7,85,23.1,0.000,0
2024-01-08T01:00,30.4,86,22.8,0.000,0
2024-01-08T02:00,30.7,84,22.5,0.000,1
2024-01-08T03:00,31.0,83,22.7,0.000,0
2024-01-08T04:00,30.2,83,22.3,0.000,0
2024-01-08T05:00,30.9,80,22.0,0.000,0
2024-01-08T06:00,30.4,79,21.6,0.000,0
2024-01-08T07:00,29.9,79,20.9,0.000,0
2024-01-08T08:00,30.2,77,21.0,0.000,1
2024-01-08T09:00,31.9,75,22.7,0.000,0
2024-01-08T10:00,35.3,69,25.4,0.000,0
2024-01-08T11:00,38.3,63,29.1,0.000,0
2024-01-08T12:00,39.9,60,31.3,0.000,0
2024-01-08T13:00,41.6,55,33.1,0.000,0
2024-01-08T14:00,42.6,53,34.1,0.000,0
2024-01-08T15:00,42.9,50,34.6,0.000,0
2024-01-08T16:00,42.8,50,35.0,0.000,0
2024-01-08T17:00,40.2,62,34.6,0.000,0
2024-01-08T18:00,38.9,58,32.5,0.000,0
2024-01-08T19:00,37.4,61,31.9,0.000,0
2024-01-08T20:00,35.7,64,30.9,0.000,0
2024-01-08T21:00,27.2,87,19.9,0.000,0
2024-01-08T22:00,25.8,90,18.6,0.000,0
2024-01-08T23:00,26.5,92,20.3,0.000,0
2024-01-09T00:00,25.1,96,19.2,0.000,0
2024-01-09T01:00,24.9,97,19.3,0.000,0
2024-01-09T02:00,24.2,95,18.4,0.000,0
2024-01-09T03:00,23.8,96,17.6,0.000,1
2024-01-09T04:00,23.4,98,17.3,0.000,3
2024-01-09T05:00,25.5,97,19.2,0.000,1
2024-01-09T06:00,25.7,96,19.3,0.000,3
2024-01-09T07:00,28.2,90,21.9,0.000,3
2024-01-09T08:00,29.4,88,22.9,0.000,2
2024-01-09T09:00,32.0,85,25.2,0.000,3
2024-01-09T10:00,36.4,81,30.7,0.000,3
2024-01-09T11:00,40.9,72,33.3,0.000,3
2024-01-09T12:00,41.4,75,32.3,0.004,51
2024-01-09T13:00,39.9,89,31.3,0.028,53
2024-01-09T14:00,40.9,90,31.4,0.024,53
2024-01-09T15:00,42.4,91,32.1,0.039,55
2024-01-09T16:00,42.8,92,31.8,0.059,61
2024-01-09T17:00,44.7,91,33.6,0.051,61
2024-01-09T18:00,47.1,92,37.0,0.039,55
2024-01-09T19:00,48.8,92,39.6,0.142,63
2024-01-09T20:00,50.0,91,40.9,0.146,63
2024-01-09T21:00,51.9,90,39.6,0.217,63
2024-01-09T22:00,52.8,91,40.9,0.224,63
2024-01-09T23:00,54.3,91,39.8,0.268,63
2024-01-10T00:00,55.2,92,43.4,0.256,63
2024-01-10T01:00,55.0,93,49.4,0.508,65
2024-01-10T02:00,55.2,92,46.6,0.327,65
